productid,merchandisegroup,merchandisesubgroup,isocountrycode,article,internationalarticlenumber,sectionname,familyname,categoryname,subcategoryname,merchandisefamily,weightproduct,scaleproduct,vatdescription,vatrate,agelimit,hwgdescription
80809,Fruta y Verdura,Fruta,ES,Fresas 1kg,80809,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,FRESA,Bayas,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5706625,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Codan Magdalenas en Tupper,5706625,ALIMENTACION SECA,PASTEL.BOLLER.IND.,REST.PAST.BOLL.IND,REST.PAST.BOLL.IND,"Croissants, bollos, magdalenas",false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5707579,Surtido seco,Conservas F&V,ES,Posada del MarquÃ©s Habas baby,5707579,CONSERVAS,CONSERVAS VEGETALES,RESTO CONS.VEGETALES,RESTO CONS.VEGETALES,Conservas vegetales,false,false,Reducido,10.0,Keines,Conservas
5800560,Surtido seco,Golosinas,ES,El NorteÃ±o Caramelo eucalipto,5800560,"","","","","Caramelos, caramelos masticables de fruta",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
1660,Surtido seco,Bebidas sin alcohol,ES,"AGUA MANANTIAL 1,5L","","","","","",Agua,false,false,Reducido,10.0,Keines,Bebidas
7302001,Congelado,Congelados,ES,Helado Patrulla CAnina,7302001,"","","","",Helados,false,false,Reducido,10.0,Keines,Congelados
4011,Nevera,Mopro (nev),ES,Dhul Natillas sabor vainilla,5701755,"","","","",Postres y aperitivos,false,true,Reducido,10.0,Keines,Fresco
118851,Surtido seco,Golosinas,ES,Bombones con licor de cereza,118851,ALIMENTACION SECA,CHOCOLATES Y CREMAS,BOMBONES Y TRUFAS,BOMBONES Y TRUFAS,Bombones,false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
139868,Congelado,Congelados,ES,HÃ­gado de ternera fileteado,"","","","","",Carne,false,false,Reducido,10.0,Keines,Congelados
5706842,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,San Blas Surtido pastelitos,"",ALIMENTACION SECA,PASTEL.BOLLER.IND.,REST.PAST.BOLL.IND,REST.PAST.BOLL.IND,"Croissants, bollos, magdalenas",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
